CONTROLN,STATE,GENDER,HV1 - Median Home Value in hundreds,IC1 - Median Household Income in hundreds,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D,Described DOMAIN,,Gender,
119966,TX,F,321,225,281,0,9372,3,68,264,243,"8,058823529",0,16.10.1908,T3,11,Lowest Socio Economic Group and Town,,"blank, U, J, A, feaM -> turning all into ""N""",
152470,CA,F,5725,610,807,97,53158,13,22,763,698,"23,72727273",0,30.12.1899,S1,45,Highest Socio Economic Group Suburban,,,
171528,CA,F,1895,317,471,46,17431,10,62,389,405,"6,705882353",0,22.01.1915,R2,5,Average Socio Economic Group and Rural,,,
92293,IL,F,3359,878,973,87,35266,16,74,897,934,"5,8",0,09.01.1906,S1,5,Highest Socio Economic Group Suburban,,,
89288,IL,F,1243,414,507,9,15884,18,70,467,464,"10,4",0,13.07.1914,S2,15,Average Socio Economic Group Suburban,,,
30051,GA,F,359,205,292,0,9279,0,90,260,250,9,0,27.04.1912,0,10,#N/A,,,
141500,NV,N,720,328,381,0,12646,9,19,357,358,"11,6",0,02.03.1919,S2,18,Average Socio Economic Group Suburban,,,
168186,CA,N,2412,549,549,91,16642,17,55,534,564,20,0,30.12.1899,U1,10,Highest Socio Economic Group and Urban,,,
94503,IL,F,550,157,217,3,6493,16,56,173,215,"12,5",0,22.12.1916,U4,10,#N/A,,,
167406,CA,F,4135,602,694,97,33830,7,60,608,665,7,0,13.02.1907,U1,7,Highest Socio Economic Group and Urban,,,
170722,CA,F,2043,296,598,52,15530,10,56,569,399,"13,8",0,14.12.1910,C1,20,Highest Socio Economic Group and City,,,
101989,MO,F,523,314,350,0,11799,1,77,330,327,"3,0625",0,24.04.1906,R2,5,Average Socio Economic Group and Rural,,,
33003,FL,F,831,242,333,1,19039,5,17,286,281,"7,375",0,28.03.1914,C1,8,Highest Socio Economic Group and City,,,
122110,TX,N,408,254,324,0,8051,15,71,292,303,"4,9375",0,10.07.1917,S3,10,Lowerst Socio Economic Group Suburban,,,
162341,CA,F,3693,358,442,97,16753,23,56,393,393,"11,28571429",0,30.12.1899,S1,14,Highest Socio Economic Group Suburban,,,
56407,KY,F,382,173,259,0,9037,0,92,211,233,"10,64705882",0,30.05.1907,R3,20,Lowest Socio Economic Group and Rural,,,
109533,LA,N,576,290,375,2,9596,1,66,318,339,"7,5",0,05.10.1908,T2,25,Average Socio Economic Group and Town,,,
179275,WA,F,1424,419,506,21,16767,4,56,446,477,"9,2",0,27.04.1912,T2,25,Average Socio Economic Group and Town,,,
48691,AL,F,733,316,412,0,19790,1,75,378,374,10,0,25.05.1907,C2,20,Average Socio Economic Group and City,,,
176443,OR,F,641,291,391,1,12815,4,45,300,356,14,0,03.10.1905,R2,10,Average Socio Economic Group and Rural,,,
190976,AZ,N,558,298,345,0,10331,4,33,301,327,"14,77777778",0,30.12.1899,C2,20,Average Socio Economic Group and City,,,
145911,CA,F,3314,781,828,99,25608,33,47,755,820,"11,66666667",0,30.12.1899,S1,10,Highest Socio Economic Group Suburban,,,
100324,MO,F,1783,577,653,36,26826,0,62,603,609,20,0,01.06.1913,S1,20,Highest Socio Economic Group Suburban,,,
132444,CO,F,543,428,434,0,12010,1,55,431,421,15,0,24.02.1913,T2,20,Average Socio Economic Group and Town,,,
67304,MI,F,1335,597,724,24,28770,4,67,682,644,"22,25",0,22.02.1913,T1,20,Highest Socio Economic Group and Town,,,
159171,CA,F,1968,416,496,45,16541,9,50,485,449,"9,4",0,20.01.1909,C2,15,Average Socio Economic Group and City,,,
11284,FL,N,934,324,478,9,17408,4,11,391,404,"6,366666667",0,05.10.1908,C2,4,Average Socio Economic Group and City,,,
74419,MI,F,578,242,328,1,12451,2,83,306,279,"9,857142857",0,30.12.1899,T2,10,Average Socio Economic Group and Town,,,
55840,MS,N,406,240,265,0,6733,1,61,243,255,"17,5",0,13.11.1912,T2,16,Average Socio Economic Group and Town,,,
112751,OK,F,1017,672,673,2,18233,0,55,700,647,"13,8",0,02.07.1911,T1,50,Highest Socio Economic Group and Town,,,
120128,TX,F,417,277,326,0,10308,0,89,300,258,14,0,01.08.1909,R2,15,Average Socio Economic Group and Rural,,,
131913,CO,F,1109,513,636,4,20235,0,64,587,606,"13,25",0,25.05.1904,S1,19,Highest Socio Economic Group Suburban,,,
172140,CA,F,2099,588,643,53,19738,3,66,609,610,"10,7",0,28.03.1914,T1,10,Highest Socio Economic Group and Town,,,
147753,CA,F,4778,792,987,95,35530,9,58,981,849,"19,25",0,24.05.1907,S1,25,Highest Socio Economic Group Suburban,,,
30068,GA,F,573,250,316,0,9846,1,84,295,285,"7,153846154",0,09.09.1913,R2,12,Average Socio Economic Group and Rural,,,
727,IA,F,240,232,315,0,10744,1,85,280,271,"2,260869565",0,28.07.1906,R3,2,Lowest Socio Economic Group and Rural,,,
110425,LA,F,305,95,182,1,6104,0,83,103,162,"13,33333333",0,28.03.1914,R3,20,Lowest Socio Economic Group and Rural,,,
173772,HI,F,1233,310,399,20,11450,11,71,347,365,"7,923076923",0,30.12.1899,R2,10,Average Socio Economic Group and Rural,,,
175847,OR,F,2070,540,876,53,33467,4,41,781,678,"5,5",0,19.03.1908,S1,10,Highest Socio Economic Group Suburban,,,
86926,MT,F,585,197,288,0,11955,1,58,244,228,"8,8",0,19.03.1908,R2,15,Average Socio Economic Group and Rural,,,
56860,KY,F,439,328,356,0,9955,0,84,335,350,"11,25",0,26.01.1918,T2,24,Average Socio Economic Group and Town,,,
135296,AZ,F,967,254,408,13,19177,7,9,359,287,"6,333333333",0,09.02.1904,C2,11,Average Socio Economic Group and City,,,
13523,NV,F,463,177,233,0,8068,0,51,189,221,14,0,26.03.1911,R2,40,Average Socio Economic Group and Rural,,,
7637,Tennessee,F,353,179,258,0,9059,0,51,220,221,9,0,05.12.1904,R3,10,Lowest Socio Economic Group and Rural,,,
40655,FL,N,810,295,430,0,19398,2,24,373,374,11,0,09.11.1909,C2,20,Average Socio Economic Group and City,,,
87505,MT,F,375,200,222,0,7976,0,62,181,225,"8,388888889",0,01.10.1905,C3,8,Lowest Socio Economic Group and City,,,
176380,OR,N,865,459,615,4,21364,6,36,536,530,10,0,01.06.1913,C1,15,Highest Socio Economic Group and City,,,
